t,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
70,HK.MHImain,2020-07-23 13:05:00,25141.0,25114.0,25164.0,25105.0,0.0,0.0,1331,33440117.0,-0.09547298910016708,25138.0,0,,-0.0009547298910016488,25138.4,25119.2,25085.0,25110.15,13.911118538973824,13.031094823165656,1.7600474316163357,0.0,0.0,0.0,72.35772357723577,80.65136101146828,25127.666666666668,25108.82051282052,53.70611439842189,23.39417532776937,0.5
71,HK.MHImain,2020-07-23 13:10:00,25115.0,25147.0,25154.0,25113.0,0.0,0.0,982,24685060.0,0.13140081229593054,25114.0,0,,0.0013140081229592315,25136.0,25129.5,25087.5,25111.133333333335,18.304500396818185,14.788896681049833,7.0312074315367035,0.0,0.0,0.0,74.15688045769348,75.95900285602183,25138.0,25103.256410256417,48.570019723865556,47.688663282562366,0.5
72,HK.MHImain,2020-07-23 13:15:00,25146.0,25149.0,25172.0,25134.0,0.0,0.0,1244,31294196.0,0.007953234978327435,25147.0,0,,7.95323497833067e-05,25137.2,25137.8,25090.45,25111.833333333332,21.287287114781066,16.95502682562691,8.664520578308313,0.0,0.0,0.0,72.07596679141395,72.86352360878105,25151.666666666668,25099.782051282058,45.362919132149656,76.2511413539641,0.5
73,HK.MHImain,2020-07-23 13:20:00,25154.0,25153.0,25166.0,25130.0,0.0,0.0,719,18077977.0,0.015905204978329156,25149.0,0,,0.0001590520497833925,25140.2,25142.7,25095.75,25112.783333333333,23.882240101742354,19.264097917665392,9.236284368153925,0.0,0.0,0.0,76.173365974361,74.1354044078228,25149.666666666668,25097.974358974367,43.694280078895154,78.86967905023224,0.5
74,HK.MHImain,2020-07-23 13:25:00,25154.0,25168.0,25172.0,25151.0,0.0,0.0,760,19123104.0,0.059635033594402254,25153.0,0,,0.0005963503359440736,25146.2,25144.8,25101.95,25114.0,29.240502350905444,22.58956606207874,13.301872577653405,0.0,0.0,0.0,79.43022980336413,75.89318752304634,25163.666666666668,25098.679487179492,44.34516765285998,97.69900220907127,0.5
75,HK.MHImain,2020-07-23 13:30:00,25168.0,25173.0,25182.0,25156.0,0.0,0.0,860,21648148.0,0.019866497139224414,25168.0,0,,0.00019866497139231498,25158.0,25148.2,25109.95,25115.166666666668,33.4616211309185,26.21358441835866,14.496073425119683,0.0,0.0,0.0,84.66111003424436,80.08823527065648,25170.333333333332,25098.82051282052,44.47534516765266,107.19470190842574,1.0
76,HK.MHImain,2020-07-23 13:35:00,25174.0,25122.0,25180.0,25119.0,0.0,0.0,1091,27433657.0,-0.20259802168990584,25173.0,-1,-1.0,-0.002025980216899037,25153.0,25144.5,25114.1,25115.45,21.33303626776251,24.58673503482661,-6.507397534128202,0.0,-1.0,0.0,68.13982037862634,77.41038673874492,25140.333333333332,25099.884615384624,45.457593688362415,59.32080820351188,0.0
77,HK.MHImain,2020-07-23 13:40:00,25121.0,25087.0,25128.0,25083.0,0.0,0.0,1341,33665041.0,-0.13932011782501394,25122.0,-1,,-0.0013932011782501474,25140.6,25138.9,25118.8,25115.25,3.5792414230381837,17.58423716423047,-28.00999148238457,0.0,0.0,0.0,38.14333814333814,63.64808951873626,25099.333333333332,25100.102564102577,45.22287968441742,-1.1339846476135211,0.0
78,HK.MHImain,2020-07-23 13:45:00,25087.0,25117.0,25117.0,25080.0,0.0,0.0,871,21861286.0,0.11958384820823535,25087.0,-1,,0.0011958384820822676,25133.4,25136.8,25123.1,25115.433333333334,0.6679772351926658,11.945483854551203,-22.555013238717073,0.0,0.0,0.0,20.79761197408256,42.36025683201566,25104.666666666668,25099.858974358984,44.998027613411836,7.122819321457312,0.0
79,HK.MHImain,2020-07-23 13:50:00,25117.0,25137.0,25149.0,25112.0,0.0,0.0,997,25060103.0,0.07962734402993989,25117.0,-1,,0.000796273440299311,25127.2,25136.7,25127.15,25116.316666666666,4.3781446496032,9.42303745290187,-10.089785606597339,0.0,0.0,0.0,32.06575559516736,30.335568570862666,25132.666666666668,25102.7435897436,44.193293885600305,45.13969472461386,0.0
